sector,is_elected,is_all_workers,pct_under_25,pct_25_44,pct_45_64,pct_65_plus,pct_genz,pct_millennial,pct_genx,pct_boomer,pct_silent
Congress,True,False,0.0,11.9,53.3,34.7,0.0,11.9,53.3,32.5,2.2
All Workers,False,True,12.200000000000001,44.9,36.1,7.0,3.7,48.9,38.7,4.8,3.1
Agriculture,False,False,10.2,35.3,36.6,17.9,3.1,38.9,38.3,9.4,8.1
Mining,False,False,6.4,51.4,35.2,7.2,1.9,50.6,38.5,4.8,3.2
Construction,False,False,10.4,46.9,36.8,5.8,3.1,49.5,39.7,4.3,2.6
Manufacturing,False,False,7.9,45.3,40.9,5.8,2.4,46.3,43.4,4.5,2.6
Wholesale Trade,False,False,19.4,41.8,31.2,7.7,5.8,51.1,33.8,4.8,3.5
Retail Trade,False,False,27.1,38.4,27.9,6.7,8.1,53.5,30.3,4.2,3.0
Transportation,False,False,7.4,49.1,38.3,5.0,2.2,49.5,41.4,4.0,2.3
Information/Tech,False,False,7.9,51.6,34.2,6.3,2.4,52.0,37.7,4.4,2.8
Finance,False,False,5.6,49.5,39.1,5.9,1.7,48.4,42.1,4.5,2.7
Professional Svc,False,False,7.7,49.2,35.7,7.5,2.3,49.6,38.8,5.0,3.4
Education & Health,False,False,10.0,45.1,38.2,6.8,3.0,47.5,40.8,4.8,3.1
Leisure & Hosp.,False,False,34.6,37.9,22.8,4.8,10.4,58.3,25.4,3.2,2.2
Gov't Workers,False,False,5.1,47.2,41.5,6.1,1.5,46.1,44.2,4.7,2.7
