congress,year,total_members,mean_age,median_age,senate_mean_age,house_mean_age,pct_pregi,pct_gi_generation,pct_silent_generation,pct_baby_boom_generation,pct_gen_x_13ers,pct_millennial_generation,senate_pct_pregi,senate_pct_gi_generation,senate_pct_silent_generation,senate_pct_baby_boom_generation,senate_pct_gen_x_13ers,senate_pct_millennial_generation
57,1901,744,48.3,48.0,55.6,46.8,99.6,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
58,1903,738,48.7,48.0,56.3,47.2,99.59,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
59,1905,735,49.4,49.0,56.8,47.8,99.73,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
60,1907,737,49.9,49.0,56.9,48.4,99.86,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
61,1909,781,50.0,49.0,56.0,48.7,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
62,1911,876,49.7,49.0,55.7,48.3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
63,1913,856,49.4,49.0,55.8,48.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
64,1915,833,49.7,49.0,55.9,48.6,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
65,1917,827,50.1,49.0,55.4,49.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
66,1919,859,50.6,49.0,56.0,49.6,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
67,1921,871,50.9,50.0,56.2,49.9,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
68,1923,822,51.7,52.0,56.7,50.8,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
69,1925,730,52.1,52.0,55.8,51.3,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
70,1927,734,52.5,53.0,56.5,51.7,99.86,0.14,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
71,1929,774,53.3,54.0,57.5,52.4,99.74,0.26,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
72,1931,887,53.1,53.0,57.0,52.3,98.87,1.13,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
73,1933,891,52.9,54.0,56.9,52.2,97.64,2.36,0.0,0.0,0.0,0.0,99.28,0.72,0.0,0.0,0.0,0.0
