congress,year,total_members,mean_age,median_age,min_age,max_age,pct_under_45,pct_over_65,pct_gi_generation,pct_silent_generation,pct_baby_boom_generation,pct_gen_x_13ers,pct_millennial_generation,pct_zoomers_homeland,senate_mean_age,senate_median_age,house_mean_age,house_median_age
57,1901,744,48.3,48.0,25.0,79.0,39.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,55.6,54.0,46.8,46.0
58,1903,738,48.7,48.0,24.0,81.0,37.6,6.9,0.0,0.0,0.0,0.0,0.0,0.0,56.3,55.5,47.2,47.0
59,1905,735,49.4,49.0,24.0,83.0,35.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,56.8,56.0,47.8,47.0
60,1907,737,49.9,49.0,26.0,85.0,31.9,10.5,0.0,0.0,0.0,0.0,0.0,0.0,56.9,56.0,48.4,48.0
61,1909,781,50.0,49.0,26.0,83.0,30.2,9.7,0.0,0.0,0.0,0.0,0.0,0.0,56.0,55.0,48.7,48.0
62,1911,876,49.7,49.0,27.0,83.0,34.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,55.7,55.0,48.3,48.0
63,1913,856,49.4,49.0,26.0,83.0,34.7,8.3,0.0,0.0,0.0,0.0,0.0,0.0,55.8,55.0,48.2,48.0
64,1915,833,49.7,49.0,28.0,85.0,33.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,55.9,56.0,48.6,48.0
65,1917,827,50.1,49.0,21.0,81.0,31.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4,55.0,49.0,48.0
66,1919,859,50.6,49.0,23.0,83.0,28.1,8.4,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,49.6,48.0
67,1921,871,50.9,50.0,25.0,85.0,26.5,9.2,0.0,0.0,0.0,0.0,0.0,0.0,56.2,57.0,49.9,49.0
68,1923,822,51.7,52.0,26.0,87.0,23.7,9.9,0.0,0.0,0.0,0.0,0.0,0.0,56.7,57.0,50.8,51.0
69,1925,730,52.1,52.0,25.0,89.0,21.5,10.7,0.0,0.0,0.0,0.0,0.0,0.0,55.8,56.0,51.3,52.0
70,1927,734,52.5,53.0,24.0,85.0,21.1,11.9,0.1,0.0,0.0,0.0,0.0,0.0,56.5,57.0,51.7,52.0
71,1929,774,53.3,54.0,22.0,87.0,19.5,15.1,0.3,0.0,0.0,0.0,0.0,0.0,57.5,57.0,52.4,53.0
72,1931,887,53.1,53.0,24.0,89.0,21.6,14.1,1.1,0.0,0.0,0.0,0.0,0.0,57.0,56.0,52.3,53.0
73,1933,891,52.9,54.0,25.0,83.0,25.0,14.8,2.4,0.0,0.0,0.0,0.0,0.0,56.9,57.0,52.2,53.0
74,1935,815,51.9,52.0,25.0,85.0,29.0,14.0,4.4,0.0,0.0,0.0,0.0,0.0,56.4,57.0,51.0,51.0
