year,chamber,generation,gen_key,n,mean_age,pct
1965,Full Congress,Missionary Generation,missionary,4,85.0,0.6
1965,Full Congress,Lost Generation,lost,116,68.9,16.0
1965,Full Congress,G.I. Generation,gi,492,50.8,68.0
1965,Full Congress,Silent Generation,silent,111,35.8,15.3
1965,Senate,Missionary Generation,missionary,1,87.0,0.9
1965,Senate,Lost Generation,lost,34,69.2,29.1
1965,Senate,G.I. Generation,gi,72,53.1,61.5
1965,Senate,Silent Generation,silent,10,36.9,8.5
1985,Full Congress,Lost Generation,lost,1,84.0,0.2
1985,Full Congress,G.I. Generation,gi,122,65.8,18.4
1985,Full Congress,Silent Generation,silent,396,50.0,59.8
1985,Full Congress,Baby Boom Generation,boomer,143,37.1,21.6
1985,Senate,G.I. Generation,gi,35,65.9,28.7
1985,Senate,Silent Generation,silent,75,50.4,61.5
1985,Senate,Baby Boom Generation,boomer,12,38.2,9.8
2005,Full Congress,G.I. Generation,gi,9,81.3,1.4
2005,Full Congress,Silent Generation,silent,164,67.2,24.8
2005,Full Congress,Baby Boom Generation,boomer,409,53.3,61.8
2005,Full Congress,Gen X (13ers),genx,80,39.0,12.1
2005,Senate,G.I. Generation,gi,6,81.8,4.9
2005,Senate,Silent Generation,silent,44,67.7,36.1
2005,Senate,Baby Boom Generation,boomer,67,53.7,54.9
2005,Senate,Gen X (13ers),genx,5,42.0,4.1
2025,Full Congress,Silent Generation,silent,14,84.8,2.3
2025,Full Congress,Baby Boom Generation,boomer,209,71.1,33.8
2025,Full Congress,Gen X (13ers),genx,327,53.6,52.9
2025,Full Congress,Millennial Generation,millennial,68,38.1,11.0
2025,Senate,Silent Generation,silent,3,85.3,2.7
2025,Senate,Baby Boom Generation,boomer,61,71.2,54.5
2025,Senate,Gen X (13ers),genx,43,54.8,38.4
2025,Senate,Millennial Generation,millennial,5,40.0,4.5
