congress,congress_year,name,chamber,state,party,date_of_birth,birth_year,age_at_start,generation
57,1901,Lucien Baker,Senate,KS,Republican,1846-06-08,1846.0,54.0,Pre-G.I.
57,1901,Marion Butler,Senate,NC,Populist,1863-05-20,1863.0,37.0,Pre-G.I.
57,1901,Donelson Caffery,Senate,LA,Democrat,1835-09-10,1835.0,65.0,Pre-G.I.
57,1901,William Chandler,Senate,NH,Republican,1835-12-28,1835.0,65.0,Pre-G.I.
57,1901,Horace Chilton,Senate,TX,Democrat,1853-12-29,1853.0,47.0,Pre-G.I.
57,1901,John Gear,Senate,IA,Republican,1825-04-07,1825.0,75.0,Pre-G.I.
57,1901,William Lindsay,Senate,KY,Democrat,1835-09-04,1835.0,65.0,Pre-G.I.
57,1901,George McBride,Senate,OR,Republican,1854-03-13,1854.0,46.0,Pre-G.I.
57,1901,Richard Pettigrew,Senate,SD,Silver Republican,1848-07-23,1848.0,52.0,Pre-G.I.
57,1901,William Sewell,Senate,NJ,Republican,1835-12-06,1835.0,65.0,Pre-G.I.
57,1901,George Shoup,Senate,ID,Republican,1836-06-15,1836.0,64.0,Pre-G.I.
57,1901,John Thurston,Senate,NE,Republican,1847-08-21,1847.0,53.0,Pre-G.I.
57,1901,Edward Wolcott,Senate,CO,Republican,1848-03-26,1848.0,52.0,Pre-G.I.
57,1901,William Deboe,Senate,KY,Republican,1849-06-30,1849.0,51.0,Pre-G.I.
58,1903,William Deboe,Senate,KY,Republican,1849-06-30,1849.0,53.0,Pre-G.I.
57,1901,William Harris,Senate,KS,Populist,1841-10-29,1841.0,59.0,Pre-G.I.
58,1903,William Harris,Senate,KS,Populist,1841-10-29,1841.0,61.0,Pre-G.I.
57,1901,Henry Heitfeld,Senate,ID,Democrat,1859-01-12,1859.0,41.0,Pre-G.I.
58,1903,Henry Heitfeld,Senate,ID,Democrat,1859-01-12,1859.0,43.0,Pre-G.I.
57,1901,James Jones,Senate,AR,Democrat,1839-09-29,1839.0,61.0,Pre-G.I.
58,1903,James Jones,Senate,AR,Democrat,1839-09-29,1839.0,63.0,Pre-G.I.
57,1901,John Jones,Senate,NV,Republican,1829-01-27,1829.0,71.0,Pre-G.I.
58,1903,John Jones,Senate,NV,Republican,1829-01-27,1829.0,73.0,Pre-G.I.
57,1901,Richard Kenney,Senate,DE,Democrat,1856-09-09,1856.0,44.0,Pre-G.I.
57,1901,James Kyle,Senate,SD,Republican,1854-02-24,1854.0,46.0,Pre-G.I.
57,1901,John McLaurin,Senate,SC,Democrat,1860-05-09,1860.0,40.0,Pre-G.I.
58,1903,John McLaurin,Senate,SC,Democrat,1860-05-09,1860.0,42.0,Pre-G.I.
57,1901,Jeter Pritchard,Senate,NC,Republican,1857-07-12,1857.0,43.0,Pre-G.I.
58,1903,Jeter Pritchard,Senate,NC,Republican,1857-07-12,1857.0,45.0,Pre-G.I.
57,1901,Joseph Rawlins,Senate,UT,Democrat,1850-03-28,1850.0,50.0,Pre-G.I.
58,1903,Joseph Rawlins,Senate,UT,Democrat,1850-03-28,1850.0,52.0,Pre-G.I.
57,1901,Thomas Turley,Senate,TN,Democrat,1845-04-05,1845.0,55.0,Pre-G.I.
57,1901,George Turner,Senate,WA,Democrat,1850-02-25,1850.0,50.0,Pre-G.I.
58,1903,George Turner,Senate,WA,Democrat,1850-02-25,1850.0,52.0,Pre-G.I.
57,1901,George Vest,Senate,MO,Democrat,1830-12-06,1830.0,70.0,Pre-G.I.
58,1903,George Vest,Senate,MO,Democrat,1830-12-06,1830.0,72.0,Pre-G.I.
57,1901,George Wellington,Senate,MD,Republican,1852-01-28,1852.0,48.0,Pre-G.I.
