name,title,chamber,level,state,party,date_of_birth,birth_year,age,generation,source,generation_short
Maria Cantwell,Senator,Senate,Federal,WA,Democrat,1958-10-13,1958,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Amy Jean Klobuchar,Senator,Senate,Federal,MN,Democrat,1960-05-25,1960,65,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Bernard Sanders,Senator,Senate,Federal,VT,Independent,1941-09-08,1941,84,Silent Generation,unitedstates.io,Silent (1925-1942)
Sheldon Whitehouse,Senator,Senate,Federal,RI,Democrat,1955-10-20,1955,70,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
John A. Barrasso,Senator,Senate,Federal,WY,Republican,1952-07-21,1952,73,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Roger F. Wicker,Senator,Senate,Federal,MS,Republican,1951-07-05,1951,74,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Susan M. Collins,Senator,Senate,Federal,ME,Republican,1952-12-07,1952,73,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
John Cornyn,Senator,Senate,Federal,TX,Republican,1952-02-02,1952,74,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Richard J. Durbin,Senator,Senate,Federal,IL,Democrat,1944-11-21,1944,81,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Lindsey O. Graham,Senator,Senate,Federal,SC,Republican,1955-07-09,1955,70,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Mitch McConnell,Senator,Senate,Federal,KY,Republican,1942-02-20,1942,84,Silent Generation,unitedstates.io,Silent (1925-1942)
Jeff Merkley,Senator,Senate,Federal,OR,Democrat,1956-10-24,1956,69,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
John F. Reed,Senator,Senate,Federal,RI,Democrat,1949-11-12,1949,76,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
James E. Risch,Senator,Senate,Federal,ID,Republican,1943-05-03,1943,82,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Jeanne Shaheen,Senator,Senate,Federal,NH,Democrat,1947-01-28,1947,79,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Mark R. Warner,Senator,Senate,Federal,VA,Democrat,1954-12-15,1954,71,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Kirsten E. Gillibrand,Senator,Senate,Federal,NY,Democrat,1966-12-09,1966,59,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
